source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes,website_exists,ssl_enabled,mobile_friendly,pagespeed_mobile,pagespeed_desktop,has_clear_cta,click_to_call_present,contact_form_present,tracking_present,conversion_score,qualification,audit_notes
Google Places API,ChIJC9Si_D8EdkgR8yvNUz96AtY,PJ Electrics London,electrician; establishment; point_of_interest,"6 Virginia Walk, London SW2 2BX, UK",SW2 2BX,51.4513184,-0.117498,020 8678 1954,http://www.pjelectrics.co.uk/,4.9,61,https://maps.google.com/?cid=15421022486477482995,electrician Lambeth,1500,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized."
Google Places API,ChIJeRItpwdje0gRT5J57iGCifU,Lambeth Electrical 4U,electrician; establishment; point_of_interest,"33 Saltoun Rd, London SW2 1EN, UK",SW2 1EN,51.4607789,-0.1129182,020 3670 7674,http://lambethelec.co.uk/,4.2,10,https://maps.google.com/?cid=17692815693348180559,electrician Lambeth,1500,,,,,85.2,No,Status: OPERATIONAL,Y,N,Unknown,,,N,N,N,N,20,TARGET,Site error: getaddrinfo ENOTFOUND lambethelec.co.uk
Google Places API,ChIJD3PNX6AbkGoRrj6Q95Zy-qo,Electricians London 247,electrician; establishment; point_of_interest,"18 Tulse Hill, London SW2 2TP, UK",SW2 2TP,51.4542379,-0.1135734,020 4600 5848,https://electricianslondon247.co.uk/,4.4,20,https://maps.google.com/?cid=12320285723349499566,electrician Lambeth,1500,,,,,91.4,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,Y,Y,100,SKIP,"Good conversion (100/100). Modern site, well-optimized."
Google Places API,ChIJoWK5L5cFdkgR9_ffF73T3l0,London City Electrical Limited,electrician; establishment; point_of_interest,"Unit 27, 101 Clapham High St, London SW4 7TB, UK",SW4 7TB,51.4629516,-0.1341794,0800 612 1016,http://www.londoncityelectrical.co.uk/,5,21,https://maps.google.com/?cid=6764076499459897335,electrician Lambeth,1500,,,,,95,No,Status: OPERATIONAL,Y,N,N,100,,N,N,N,Y,35,TARGET,"Poor conversion (35/100). Issues: not mobile-friendly, no click-to-call, no clear CTA, no contact form"
Google Places API,ChIJ9zq1RGIEdkgReycryts1OWw,JFC Electrical,electrician; establishment; point_of_interest,"4 Tavern Ln, Myatts Field South, London SW9 6NG, UK",SW9 6NG,51.47120229999999,-0.1091923,07587 398930,http://www.jfcelectrical.com/,5,3,https://maps.google.com/?cid=7798323447874660219,electrician Lambeth,1500,,,,,80,No,Status: OPERATIONAL,Y,N,Y,100,,N,N,N,N,45,TARGET,"Poor conversion (45/100). Issues: no click-to-call, no clear CTA, no contact form"
Google Places API,ChIJoysrrmwFdkgRQAfBxSpNDAk,Brixton Electrical Services Ltd,electrician; establishment; point_of_interest,"59 Rattray Rd, London SW2 1BB, UK",SW2 1BB,51.46020559999999,-0.1129582,07588 662795,,5,3,https://maps.google.com/?cid=651980892163606336,electrician Lambeth,1500,,,,,65,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJXYna8I9cWacRHXZ2Zmr7eik,Ze-Electrics Service Ltd,electrician; establishment; point_of_interest,"Brixton, London SW2 4UT, UK",SW2 4UT,51.44722669999999,-0.1286786,07427 420737,http://www.ze-electrics.co.uk/,5,64,https://maps.google.com/?cid=2988977737117890077,electrician Lambeth,1500,,,,,100,No,Status: OPERATIONAL,Y,N,Y,100,,N,N,Y,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA"
Google Places API,ChIJDU7Nj1MFdkgR5sVXdQzp6RE,NICEIC Electrician,electrician; establishment; point_of_interest,"41 Rectory Grove, London SW4 0DX, UK",SW4 0DX,51.46737,-0.1405503,020 3488 2928,https://niceicelectricians.co.uk/,5,2,https://maps.google.com/?cid=1290819007935923686,emergency electrician Lambeth,1500,,,,,80,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,Y,Y,100,SKIP,"Good conversion (100/100). Modern site, well-optimized."
Google Places API,ChIJzTOYCmO7cEgRmcpIX4vXPrs,Spark.LE Electricians,electrician; establishment; point_of_interest,"118 Clapham High St, London SW4 7UH, UK",SW4 7UH,51.4629698,-0.1350934,07932 537733,,5,1,https://maps.google.com/?cid=13492458527247616665,emergency electrician Lambeth,1500,,,,,65,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJZ42ubF4EdkgRWgBZ4BXVO5Y,MC Electric,electrician; establishment; point_of_interest,"Burford House, Stockwell Rd, London SW9 9PU, UK",SW9 9PU,51.468457,-0.1186467,07821 116181,,5,2,https://maps.google.com/?cid=10825480419250077786,emergency electrician Lambeth,1500,,,,,65,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJ35v9eFoEdkgRHPW9XtjEyPA,R+O Electrical,electrician; establishment; point_of_interest,"1 Landor Rd, London SW9 9RX, UK",SW9 9RX,51.46548310000001,-0.1287957,,http://ro-electrical.com/,5,1,https://maps.google.com/?cid=17350333998026323228,emergency electrician Lambeth,1500,,,,,65,No,Status: OPERATIONAL,Y,N,Y,97,,Y,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no contact form"
Google Places API,ChIJp3_tkvcFdkgRix3AdH5XpKc,LiveWire Electric Co.,establishment; point_of_interest,"3 Electric Ave, London SW9 8HH, UK",SW9 8HH,51.4621189,-0.114769,020 3633 2097,https://brixton-electricians.co.uk/,5,8,https://maps.google.com/?cid=12079876301150756235,emergency electrician Lambeth,1500,,,,,85,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,N,80,SKIP,"Good conversion (80/100). Modern site, well-optimized."
Google Places API,ChIJKxmep3EEdkgRZYZPYwbKzuQ,F & A Electrical Ltd,electrician; establishment; point_of_interest,"22, Bessemer Park, 250 Milkwood Rd, London SE24 0HG, UK",SE24 0HG,51.458974,-0.1026153,0800 910 1263,,4.8,4,https://maps.google.com/?cid=16487337414634735205,emergency electrician Lambeth,1500,,,,,63.8,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJ0WIqlUAEdkgR08XVGvMIUf8,GAS & ELEC,electrician; establishment; point_of_interest,"124 Brixton Hill, London SW2 1RS, UK",SW2 1RS,51.4532095,-0.1213975,020 0888 0998,https://www.gasandelec.com/gas__elec_brixton_0200_888_0998.html,,,https://maps.google.com/?cid=18397495793005479379,emergency electrician Lambeth,1500,,,,,50,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no contact form"
Google Places API,ChIJA8KrwT0FdkgR1RwNVEatRyw,Herne Hill Electricals Services Ltd,electrician; establishment; point_of_interest,"283 Railton Rd, London SE24 0LY, UK",SE24 0LY,51.4533821,-0.1030136,07429 995627,,5,4,https://maps.google.com/?cid=3190709378584747221,electrical services Lambeth,1500,,,,,65,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity
Google Places API,ChIJt37j3d5Ld0gRn3AhstnRqN8,Brixton Electrical services,electrician; establishment; point_of_interest,"458A Brixton Rd, London SW9 8HH, UK",SW9 8HH,51.4630486,-0.1152205,0800 878 6038,https://thesoutheastelectricians.co.uk/brixton/,5,9,https://maps.google.com/?cid=16116361999471964319,electrical services Lambeth,1500,,,,,85,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,N,Y,N,75,SKIP,"Good conversion (75/100). Modern site, well-optimized."
Google Places API,ChIJSwydnPMFdkgRw5KPBzSGijg,Cole Electric Ltd,electrician; establishment; point_of_interest,"2 Auckland St, London SE11 5AD, UK",SE11 5AD,51.4867895,-0.1206971,07723 388907,http://www.coleelectric.co.uk/,4.9,118,https://maps.google.com/?cid=4074216370933306051,electrician Lambeth,3000,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,99,,N,Y,Y,N,70,SKIP,"Good conversion (70/100). Modern site, well-optimized."
