source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes,website_exists,ssl_enabled,mobile_friendly,pagespeed_mobile,pagespeed_desktop,has_clear_cta,click_to_call_present,contact_form_present,tracking_present,conversion_score,qualification,audit_notes,group,problem_type,problem_summary,demo_group
Google Places API,ChIJKxmep3EEdkgRZYZPYwbKzuQ,F & A Electrical Ltd,electrician; establishment; point_of_interest,"22, Bessemer Park, 250 Milkwood Rd, London SE24 0HG, UK",SE24 0HG,51.458974,-0.1026153,0800 910 1263,,4.8,4,https://maps.google.com/?cid=16487337414634735205,emergency electrician Lambeth,1500,,,,,63.8,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity,PRIME,no_website,No online presence. Missing 8+ monthly leads with 4.8★ rating.,B
Google Places API,ChIJhQwJDQAFdkgR2wuk5MkVwmo,Vauxhall Electrical And Heating Services,electrician; establishment; plumber; point_of_interest,"29A Vauxhall Grove, London SW8 1SY, UK",SW8 1SY,51.4847501,-0.121863,07782 334897,,4.2,5,https://maps.google.com/?cid=7692735070370794459,electrician Lambeth,3000,,,,,65.2,No,Status: OPERATIONAL,N,N,N/A,,,N,N,N,N,,PRIME,No website - highest priority opportunity,PRIME,no_website,No online presence. Missing 10+ monthly leads with 4.2★ rating.,B
Google Places API (Text Search),ChIJ8WVfIucddkgR7BvX9-pw8E8,BESA Electrical Services LTD,electrician; establishment; point_of_interest,"160 City Rd, London EC1V 2NX, UK",EC1V 2NX,51.5272503,-0.08898539999999999,020 3633 8937,https://besaelectricalservices.com/,5,335,https://maps.google.com/?cid=5760228077889592300,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,N,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA, no contact form",TARGET,poor_website,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA, no contact form",B
Google Places API,ChIJN34R86xqqwkRaktgWxC-33Y,24hr Emergency Electrician Dulwich & Norwood | ABCD Electrical,electrician; establishment; point_of_interest,"30 Martell Rd, Norwood, London SE21 8EE, UK",SE21 8EE,51.4334527,-0.0946308,0333 577 0102,https://abcdelectrical.com/service-areas/dulwich/,5,133,https://maps.google.com/?cid=8565773993743764330,electrician Lambeth,3000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,16,,Y,Y,N,N,67,TARGET,Borderline (67/100). Some good elements but room for improvement.,TARGET,poor_website,Borderline (67/100). Some good elements but room for improvement.,B
Google Places API (Text Search),ChIJHUSzjcoHdkgR7L5lLhcDizg,NK Electrical Engineering,electrician; establishment; point_of_interest,"32 Hopton Rd, London SW16 2EJ, UK",SW16 2EJ,51.4258634,-0.1274222,07745 146001,https://www.checkatrade.com/trades/nkelectricalengineering,5,101,https://maps.google.com/?cid=4074353685984296684,electricians in Lambeth London,5000,,,,,100,No,Status: OPERATIONAL,Y,Y,Y,100,,N,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA, no contact form",TARGET,poor_website,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA, no contact form",B
Google Places API,ChIJXYna8I9cWacRHXZ2Zmr7eik,Ze-Electrics Service Ltd,electrician; establishment; point_of_interest,"Brixton, London SW2 4UT, UK",SW2 4UT,51.44722669999999,-0.1286786,07427 420737,http://www.ze-electrics.co.uk/,5,64,https://maps.google.com/?cid=2988977737117890077,electrician Lambeth,1500,,,,,100,No,Status: OPERATIONAL,Y,N,Y,100,,N,N,Y,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA",TARGET,poor_website,"Poor conversion (55/100). Issues: no click-to-call, no clear CTA",B
Google Places API,ChIJoWK5L5cFdkgR9_ffF73T3l0,London City Electrical Limited,electrician; establishment; point_of_interest,"Unit 27, 101 Clapham High St, London SW4 7TB, UK",SW4 7TB,51.4629516,-0.1341794,0800 612 1016,http://www.londoncityelectrical.co.uk/,5,21,https://maps.google.com/?cid=6764076499459897335,electrician Lambeth,1500,,,,,95,No,Status: OPERATIONAL,Y,N,N,100,,N,N,N,Y,35,TARGET,"Poor conversion (35/100). Issues: not mobile-friendly, no click-to-call, no clear CTA, no contact form",TARGET,poor_website,"Poor conversion (35/100). Issues: not mobile-friendly, no click-to-call, no clear CTA, no contact form",B
Google Places API (Text Search),ChIJl6RcKE0FdkgRtrVbOWopG0U,Taylor & Taylor Electrical Contractors,electrician; establishment; home_goods_store; point_of_interest; store,"73 Bolingbroke Grove, London SW11 6HD, UK",SW11 6HD,51.4552022,-0.168145,07548 343807,http://www.taylorandtaylorelectrical.com/,5,20,https://maps.google.com/?cid=4979619349193799094,emergency electrician Clapham,5000,,,,,95,No,Status: OPERATIONAL,Y,N,Y,94,,N,N,N,N,44,TARGET,"Poor conversion (44/100). Issues: no click-to-call, no clear CTA, no contact form",TARGET,poor_website,"Poor conversion (44/100). Issues: no click-to-call, no clear CTA, no contact form",B
Google Places API,ChIJ9zq1RGIEdkgReycryts1OWw,JFC Electrical,electrician; establishment; point_of_interest,"4 Tavern Ln, Myatts Field South, London SW9 6NG, UK",SW9 6NG,51.47120229999999,-0.1091923,07587 398930,http://www.jfcelectrical.com/,5,3,https://maps.google.com/?cid=7798323447874660219,electrician Lambeth,1500,,,,,80,No,Status: OPERATIONAL,Y,N,Y,100,,N,N,N,N,45,TARGET,"Poor conversion (45/100). Issues: no click-to-call, no clear CTA, no contact form",TARGET,poor_website,"Poor conversion (45/100). Issues: no click-to-call, no clear CTA, no contact form",B
Google Places API,ChIJ35v9eFoEdkgRHPW9XtjEyPA,R+O Electrical,electrician; establishment; point_of_interest,"1 Landor Rd, London SW9 9RX, UK",SW9 9RX,51.46548310000001,-0.1287957,,http://ro-electrical.com/,5,1,https://maps.google.com/?cid=17350333998026323228,emergency electrician Lambeth,1500,,,,,65,No,Status: OPERATIONAL,Y,N,Y,97,,Y,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no contact form",TARGET,poor_website,"Poor conversion (55/100). Issues: no click-to-call, no contact form",B
Google Places API (Text Search),ChIJtT36GYEFdkgR4eDVet8OEVo,MK Electrical London Ltd,electrician; establishment; point_of_interest,"Townmead Business Centre, William Morris Way, London SW6 2SZ, UK",SW6 2SZ,51.4688686,-0.1853251,020 7385 5016,http://www.mkelectricallondon.co.uk/,4.9,98,https://maps.google.com/?cid=6489984891018928353,electrical companies Brixton,5000,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,100,,Y,N,N,N,55,TARGET,"Poor conversion (55/100). Issues: no click-to-call, no contact form",TARGET,poor_website,"Poor conversion (55/100). Issues: no click-to-call, no contact form",B
