source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes,website_exists,ssl_enabled,mobile_friendly,pagespeed_mobile,pagespeed_desktop,has_clear_cta,click_to_call_present,contact_form_present,tracking_present,conversion_score,qualification,audit_notes,group,problem_type,problem_summary
Google Places API,ChIJC9Si_D8EdkgR8yvNUz96AtY,PJ Electrics London,electrician; establishment; point_of_interest,"6 Virginia Walk, London SW2 2BX, UK",SW2 2BX,51.4513184,-0.117498,020 8678 1954,http://www.pjelectrics.co.uk/,4.9,61,https://maps.google.com/?cid=15421022486477482995,electrician Lambeth,1500,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,N,Y,80,SKIP,"Good conversion (80/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJD3PNX6AbkGoRrj6Q95Zy-qo,Electricians London 247,electrician; establishment; point_of_interest,"18 Tulse Hill, London SW2 2TP, UK",SW2 2TP,51.4542379,-0.1135734,020 4600 5848,https://electricianslondon247.co.uk/,4.4,20,https://maps.google.com/?cid=12320285723349499566,electrician Lambeth,1500,,,,,91.4,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,Y,Y,100,SKIP,"Good conversion (100/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJDU7Nj1MFdkgR5sVXdQzp6RE,NICEIC Electrician,electrician; establishment; point_of_interest,"41 Rectory Grove, London SW4 0DX, UK",SW4 0DX,51.46737,-0.1405503,020 3488 2928,https://niceicelectricians.co.uk/,5,2,https://maps.google.com/?cid=1290819007935923686,emergency electrician Lambeth,1500,,,,,80,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,Y,Y,100,SKIP,"Good conversion (100/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJp3_tkvcFdkgRix3AdH5XpKc,LiveWire Electric Co.,establishment; point_of_interest,"3 Electric Ave, London SW9 8HH, UK",SW9 8HH,51.4621189,-0.114769,020 3633 2097,https://brixton-electricians.co.uk/,5,8,https://maps.google.com/?cid=12079876301150756235,emergency electrician Lambeth,1500,,,,,85,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,N,80,SKIP,"Good conversion (80/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJt37j3d5Ld0gRn3AhstnRqN8,Brixton Electrical services,electrician; establishment; point_of_interest,"458A Brixton Rd, London SW9 8HH, UK",SW9 8HH,51.4630486,-0.1152205,0800 878 6038,https://thesoutheastelectricians.co.uk/brixton/,5,9,https://maps.google.com/?cid=16116361999471964319,electrical services Lambeth,1500,,,,,85,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,N,Y,N,75,SKIP,"Good conversion (75/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJSwydnPMFdkgRw5KPBzSGijg,Cole Electric Ltd,electrician; establishment; point_of_interest,"2 Auckland St, London SE11 5AD, UK",SE11 5AD,51.4867895,-0.1206971,07723 388907,http://www.coleelectric.co.uk/,4.9,118,https://maps.google.com/?cid=4074216370933306051,electrician Lambeth,3000,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,99,,N,Y,Y,N,70,SKIP,"Good conversion (70/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJAQCMk5oEdkgRgSMT5TIzsfo,Jah Electrical,electrician; establishment; point_of_interest,"Camberwell Business Centre, 99-103 Lomond Grove, London SE5 7HN, UK",SE5 7HN,51.4769975,-0.0912847,020 3916 5419,http://jahelectricals.co.uk/,4.9,119,https://maps.google.com/?cid=18064275874044388225,electrician Lambeth,3000,,,,,99.4,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,Y,Y,90,SKIP,"Good conversion (90/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJ1WmQdUUFdkgRNMJSZfP9wOc,Circuit Savvy Electric,electronics_store; establishment; point_of_interest; store,"St Peters Residence, 2A Meadow Rd, London SW8 1QH, UK",SW8 1QH,51.4829675,-0.1197314,020 3633 6672,https://lambeth-electricians.co.uk/,5,4,https://maps.google.com/?cid=16699626640108601908,emergency electrician Lambeth,3000,,,,,80,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,Y,N,N,80,SKIP,"Good conversion (80/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJ4eX067UFdkgRWeSfdAAxCA0,SW Electricians,electrician; establishment; point_of_interest,"106, Ambrose House, 19 Circus Rd W, Nine Elms, London SW11 8EL, UK",SW11 8EL,51.4825585,-0.1459013,020 3151 6771,https://www.swelectricians.com/,4,8,https://maps.google.com/?cid=939054400333145177,emergency electrician Lambeth,3000,,,,,79,No,Status: OPERATIONAL,Y,Y,Y,100,,Y,N,N,Y,75,SKIP,"Good conversion (75/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
Google Places API,ChIJBQh60TIFdkgRHbczFOSSJf4,Masterfix Property Services,electrician; establishment; general_contractor; plumber; point_of_interest; roofing_contractor,"Unit 1, 33 Stannary St, London SE11 4AA, UK",SE11 4AA,51.4860151,-0.1099232,020 7518 8600,http://www.master-fix.com/,4.5,236,https://maps.google.com/?cid=18313204968061122333,emergency electrician Lambeth,3000,,,,,97,No,Status: OPERATIONAL,Y,N,Y,100,,Y,Y,N,N,70,SKIP,"Good conversion (70/100). Modern site, well-optimized.",SKIP,good_website,Website already well-optimized.
