source,place_id,business_name,category,address,postcode,lat,lng,phone,website_url,google_rating,review_count,maps_url,query_used,radius_used_m,contact_email_found,contact_form_url,facebook_url,instagram_url,lead_source_score,duplicate_flag,notes
Google Places API,ChIJ_YIUP_4FdkgRsyy2JPz70t4,R&P Roofing Brixton,establishment; point_of_interest; roofing_contractor,"17a Electric Ln, London SW9 8LA, UK",SW9 8LA,51.4616908,-0.1140335,07990 567457,https://www.roofingbrixton.co.uk/,5,27,https://maps.google.com/?cid=16056172681895488691,roofer Lambeth,1500,,,,,95,No,Status: OPERATIONAL
Google Places API,ChIJG0ita3MEdkgR1_P4cEjuLbM,DULWICH ROOFING CONTRACTORS,establishment; point_of_interest; roofing_contractor,"157 Herne Hill, London SE24 9LR, UK",SE24 9LR,51.4533707,-0.1009095,020 7733 5265,http://www.dulwichroofing.com/,5,12,https://maps.google.com/?cid=12911237701641499607,roofer Lambeth,1500,,,,,90,No,Status: OPERATIONAL
Google Places API,ChIJX5-OlK0FdkgRs3XSqOAUZ1g,London Borough Roofing Limited,establishment; general_contractor; point_of_interest; roofing_contractor,"Appach Rd, Brixton Hill, London SW2 2LB, UK",SW2 2LB,51.4543765,-0.1154227,07309 962256,,2.4,18,https://maps.google.com/?cid=6370083153076450739,roofer Lambeth,1500,,,,,59.4,No,Status: OPERATIONAL
Google Places API,ChIJi-hGP_2CdkgRXH-7RlpnHsY,Moss Busters Roofing Services,establishment; point_of_interest; roofing_contractor,"55A Clapham High St, London SW4 7TG, UK",SW4 7TG,51.4635616,-0.1328583,020 3670 4369,,5,1,https://maps.google.com/?cid=14275961506242461532,roofing services Lambeth,1500,,,,,65,No,Status: OPERATIONAL
Google Places API,ChIJZbQR9F8FdkgR2cgcKMtLFa0,Stj Roofing Lambeth,establishment; point_of_interest; roofing_contractor,"69 S Lambeth Rd, London SW8 1QU, UK",SW8 1QU,51.4798834,-0.1239627,020 3670 4368,,3.7,3,https://maps.google.com/?cid=12471958078995876057,roofer Lambeth,3000,,,,,57.2,No,Status: OPERATIONAL
Google Places API,ChIJRVO8WOwFdkgRewdsH2T4QNE,N.H.R.B.S. Roofing Services,establishment; point_of_interest; roofing_contractor,"69 Ponsonby Pl, Pimlico, London SW1P 4PP, UK",SW1P 4PP,51.4900724,-0.1307656,020 7828 2181,http://www.nunheadroofing.co.uk/,4.8,64,https://maps.google.com/?cid=15078324661344012155,roofer Lambeth,3000,,,,,98.8,No,Status: OPERATIONAL
Google Places API,ChIJxdgbHqYFdkgR1INxiHGz6_4,South Lambeth Roofing,establishment; point_of_interest; roofing_contractor,"Wandsworth Rd, London SW8 3JL, UK",SW8 3JL,51.4662735,-0.1496893,07832 767092,,5,1,https://maps.google.com/?cid=18368972805362516948,roofer Lambeth,3000,,,,,65,No,Status: OPERATIONAL
Google Places API,ChIJ-ya1Wv4DdkgRHnLfOc4RvAE,L M Q Roofing Services,establishment; point_of_interest; roofing_contractor,"79 S Croxted Rd, Norwood, London SE21 8BA, UK",SE21 8BA,51.4328685,-0.0897685,020 8670 7760,https://www.lmqroofingservices.com/,5,6,https://maps.google.com/?cid=124994467091411486,roofer Lambeth,3000,,,,,85,No,Status: OPERATIONAL
Google Places API,ChIJoa1hDuIEdkgRwsnrgtK6X4A,London City Roofing,establishment; point_of_interest; roofing_contractor,"80 Lupus St, Pimlico, London SW1V 3EL, UK",SW1V 3EL,51.4878475,-0.142019,0800 488 0683,https://londoncityroofing.co.uk/,5,2,https://maps.google.com/?cid=9250317572944677314,roofer Lambeth,3000,,,,,80,No,Status: OPERATIONAL
Google Places API,ChIJdZB90vIFdkgRX17bsNDpVtc,J&C Roofing ltd,establishment; general_contractor; home_goods_store; painter; point_of_interest; roofing_contractor; store,"75a Woodbourne Ave, London SW16 1UX, UK",SW16 1UX,51.43296059999999,-0.1343387,07762 946894,https://www.jcroofingltd.com/,5,1,https://maps.google.com/?cid=15516846648681258591,roofing contractor Lambeth,3000,,,,,80,No,Status: OPERATIONAL
Google Places API,ChIJP1FST_kFdkgRpQvlyII2UXA,Home Restoration Specialists LTD,establishment; general_contractor; point_of_interest; roofing_contractor,"264 Lavender Hill, London SW11 1LJ, UK",SW11 1LJ,51.46400870000001,-0.1670122,020 3633 9159,https://www.homerestorationspecialists.co.uk/,4.9,156,https://maps.google.com/?cid=8093309940705594277,roofer Lambeth,5000,,,,,99.4,No,Status: OPERATIONAL
Google Places API,ChIJXastQqAFdkgRYOt4X2-_MOQ,"LF Roofing Services Ltd - New roofs and repairs - Clapham, Balham, Streatham, Tooting, Brixton, Dulwich, Crystal Palace",establishment; point_of_interest; roofing_contractor,"24 Ashlake Rd, London SW16 2BB, UK",SW16 2BB,51.4286501,-0.1285089,07815 695928,http://www.lfroofingservices.co.uk/,5,27,https://maps.google.com/?cid=16442852724593716064,roofer Lambeth,5000,,,,,95,No,Status: OPERATIONAL
Google Places API,ChIJq6pa6kr1bkgRE5UQ_AIkh3k,Highpoint Roofing Lambeth,establishment; point_of_interest; roofing_contractor,"144 Lambeth Rd, London SE1 7DF, UK",SE1 7DF,51.4962239,-0.1134033,020 3670 3245,,,,https://maps.google.com/?cid=8757007595682698515,roofer Lambeth,5000,,,,,35,No,Status: OPERATIONAL
Google Places API,ChIJoUFt7CMFdkgRLNdYO_ClpP8,M&K ROOFING,establishment; point_of_interest; roofing_contractor,"55 Princes Gate, Exhibition Rd, London SW7 2PN, UK",SW7 2PN,51.49906170000001,-0.1740366,07378 865279,http://www.mandkroofing.co.uk/,5,42,https://maps.google.com/?cid=18421030827058583340,roofer Lambeth,5000,,,,,95,No,Status: OPERATIONAL
Google Places API,ChIJh91eSwQadkgR9Y-cwlWlWMQ,Trinity roofing,establishment; point_of_interest; roofing_contractor,"28 Old Brompton Rd, South Kensington, London SW7 3SS, UK",SW7 3SS,51.4937212,-0.1752772,020 8485 8214,https://www.trinityroofing.co.uk/,5,33,https://maps.google.com/?cid=14148240017140256757,roofer Lambeth,5000,,,,,95,No,Status: OPERATIONAL
Google Places API,ChIJMSPY3B-p2EcRuNj9be_35xs,Mayfair Roofing,establishment; point_of_interest; roofing_contractor,"23 Hertford St, London W1J 7RZ, UK",W1J 7RZ,51.5053239,-0.1494645,020 3519 2748,http://mayfairroofers.co.uk/,5,43,https://maps.google.com/?cid=2010848366358812856,roofer Lambeth,5000,,,,,95,No,Status: OPERATIONAL
